Rank,Name,Nationality,Position,Team,League,Age,Birth Year,Matches Played,Matches Started,Playing Time Min,90 Minutes Played,Goals,Assists,Goals + Assists,Goals - Penalty Kick,Penalty Kick,Penalty Kick Attempts,Yellow Cards,Red Cards,Expected Goals,Non-Penalty Expected Goals,Expected xAG,Non-Penalty Expected Goals + Expected Assisted Goals,Progressive Carries,Progressive Passes,Progressive Receptions,Goals Per 90,Assists Per 90,Goals + Assists Per 90,Goals - Penalty Kick Per 90,Per 90 Minutes G+A-PK,Expected Goals Per 90,Expected Assisted Goals Per 90,Per 90 Minutes xG+xAG,Non-Penalty Expected Goals Per 90,Non-Penalty Expected Goals + Expected Assisted Goals Per 90
141,Jesús Areso,es ESP,DF,Osasuna,es La Liga,25-230,1999,23,22,1949,21.7,0,1,1,0,0,0,5,0,0.1,0.1,1.7,1.8,68,74,134,0.00,0.05,0.05,0.00,0.05,0.01,0.08,0.08,0.01,0.08
142,David Argüelles,es ESP,MF,Getafe,es La Liga,23-047,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Joe Aribo,ng NGA,MF,Southampton,eng Premier League,28-211,1996,24,16,1549,17.2,3,0,3,3,0,0,1,0,2.6,2.6,1.5,4.0,31,59,56,0.17,0.00,0.17,0.17,0.17,0.15,0.09,0.23,0.15,0.23
144,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,28-007,1997,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25
145,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,18-029,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.00,0.00,0.00,0.00,0.00,0.69,0.14,0.82,0.69,0.82
146,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,29-308,1995,7,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,3,7,0.00,0.00,0.00,0.00,0.00,0.12,0.16,0.28,0.12,0.28
147,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,21-313,2003,14,11,941,10.5,2,2,4,2,0,0,2,0,1.9,1.9,1.2,3.1,27,56,80,0.19,0.19,0.38,0.19,0.38,0.18,0.12,0.30,0.18,0.30
148,Marko Arnautović,at AUT,FW,Inter,it Serie A,35-304,1989,9,0,170,1.9,1,1,2,1,0,0,1,0,1.4,1.4,0.4,1.8,1,5,27,0.53,0.53,1.06,0.53,1.06,0.74,0.23,0.96,0.74,0.96
149,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,30-266,1994,20,20,1746,19.4,2,4,6,2,0,0,7,0,0.7,0.7,2.0,2.7,6,92,9,0.10,0.21,0.31,0.10,0.31,0.04,0.11,0.14,0.04,0.14
150,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,de Bundesliga,25-042,2000,17,3,587,6.5,2,0,2,1,1,2,5,1,2.9,1.4,0.9,2.3,11,16,48,0.31,0.00,0.31,0.15,0.15,0.45,0.14,0.59,0.21,0.35
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
151,Sergio Arribas,es ESP,DF,Betis,es La Liga,22-007,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,30-137,1994,18,18,1620,18.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153,Arthur,br BRA,"DF,FW",Leverkusen,de Bundesliga,21-337,2003,11,5,431,4.8,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,8,13,34,0.00,0.21,0.21,0.00,0.21,0.00,0.08,0.08,0.00,0.08
154,Takuma Asano,jp JPN,"FW,MF",Mallorca,es La Liga,30-099,1994,13,6,557,6.2,0,0,0,0,0,0,0,0,1.3,1.3,0.0,1.3,19,11,41,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20
155,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-004,2003,12,7,769,8.5,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.5,3,11,4,0.00,0.12,0.12,0.00,0.12,0.00,0.05,0.05,0.00,0.05
156,Marco Asensio,es ESP,FW,Aston Villa,eng Premier League,29-027,1996,1,0,28,0.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,3,2,0.00,0.00,0.00,0.00,0.00,1.18,0.06,1.24,1.18,1.24
157,Marco Asensio,es ESP,"FW,MF",Paris S-G,fr Ligue 1,29-027,1996,12,8,618,6.9,2,4,6,2,0,0,0,0,5.6,5.6,2.7,8.3,19,36,49,0.29,0.58,0.87,0.29,0.87,0.82,0.39,1.21,0.82,1.21
158,Kristjan Asllani,al ALB,MF,Inter,it Serie A,22-345,2002,14,5,539,6.0,0,2,2,0,0,0,3,0,0.8,0.8,1.6,2.4,7,38,15,0.00,0.33,0.33,0.00,0.33,0.13,0.27,0.40,0.13,0.40
159,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,37-200,1987,17,13,1235,13.7,7,3,10,4,3,4,4,1,6.4,3.2,2.8,6.0,39,94,92,0.51,0.22,0.73,0.29,0.51,0.47,0.20,0.67,0.24,0.44
160,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,21-090,2003,15,9,841,9.3,2,0,2,2,0,0,2,0,1.3,1.3,1.3,2.5,40,59,91,0.21,0.00,0.21,0.21,0.21,0.14,0.14,0.27,0.14,0.27
161,Lorenz Assignon,tg TOG,"DF,MF",Rennes,fr Ligue 1,24-240,2000,20,16,1388,15.4,1,3,4,1,0,0,6,0,0.4,0.4,2.4,2.8,61,68,115,0.06,0.19,0.26,0.06,0.26,0.03,0.16,0.18,0.03,0.18
162,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,fr Ligue 1,19-306,2005,9,0,81,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1.0,4,1,14,0.00,0.00,0.00,0.00,0.00,0.10,0.96,1.06,0.10,1.06
163,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,19-176,2005,22,22,1823,20.3,0,0,0,0,0,0,6,0,0.8,0.8,0.4,1.2,28,69,22,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
164,Arthur Atta,fr FRA,"MF,FW",Udinese,it Serie A,22-034,2003,15,2,419,4.7,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.8,9,21,25,0.00,0.21,0.21,0.00,0.21,0.05,0.13,0.18,0.05,0.18
165,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-268,2002,19,19,1710,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166,Emil Audero,it ITA,GK,Como,it Serie A,28-030,1997,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,Tommaso Augello,it ITA,"DF,FW",Cagliari,it Serie A,30-171,1994,25,19,1667,18.5,0,3,3,0,0,0,2,0,0.2,0.2,3.1,3.4,45,68,80,0.00,0.16,0.16,0.00,0.16,0.01,0.17,0.18,0.01,0.18
168,Carlos Augusto,br BRA,"DF,FW",Inter,it Serie A,26-041,1999,18,7,903,10.0,2,1,3,2,0,0,0,0,1.1,1.1,0.8,1.9,13,38,49,0.20,0.10,0.30,0.20,0.30,0.11,0.08,0.19,0.11,0.19
169,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24-080,2000,15,10,934,10.4,1,1,2,1,0,0,3,0,1.5,1.5,0.5,2.0,22,56,27,0.10,0.10,0.19,0.10,0.19,0.14,0.05,0.19,0.14,0.19
170,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,26-040,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,31-011,1994,16,6,591,6.6,2,0,2,2,0,0,4,1,1.5,1.5,1.0,2.5,12,18,44,0.30,0.00,0.30,0.30,0.30,0.23,0.15,0.39,0.23,0.39
